num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
32,23,6,0,0,0,6,0,0
55,45,21,0,0,0,2,0,1
51,43,16,0,0,0,3,0,0
9,9,3,0,0,0,1,0,0
203,187,4,0,0,0,19,0,1
93,72,22,0,0,0,14,0,1
111,73,44,0,0,0,3,0,0
541,283,159,0,0,0,62,2,1
434,240,138,0,0,0,21,1,1
66,56,25,0,0,0,1,1,1
60,54,18,0,0,0,6,0,0
59,59,6,0,0,0,0,0,1
150,92,46,3,3,1,13,0,1
380,217,142,0,0,0,3,0,1
534,278,154,0,0,0,68,2,1
121,120,1,0,0,0,107,0,1
767,334,275,0,0,7,46,0,0
806,323,330,0,0,0,10,0,1
331,203,98,0,0,0,19,0,1
244,76,65,0,0,0,46,1,0
226,121,6,0,0,0,115,0,1
37,32,13,0,0,0,1,0,1
24,24,5,0,0,0,2,0,0
30,28,6,0,0,0,2,0,1
72,42,12,1,1,3,3,0,0
291,150,91,0,0,1,8,0,0
51,32,10,0,0,0,17,0,0
166,108,54,0,0,0,6,1,1
969,410,298,20,7,1,32,2,0
104,74,40,0,0,0,4,1,0
12,11,4,0,0,0,2,0,0
18,17,8,0,0,0,0,0,0
1320,527,299,5,5,0,204,1,0
485,228,33,0,0,0,211,0,0
163,101,59,0,0,0,8,0,0
57,46,18,0,0,0,3,0,0
1468,612,490,0,0,0,142,4,1
19,18,5,0,0,0,4,0,0
80,59,32,0,0,0,4,0,0
57,49,22,0,0,0,3,0,0
225,137,61,4,4,1,12,0,1
181,107,58,0,0,0,12,0,0
45,34,2,0,0,0,5,0,0
125,87,40,0,0,0,7,0,0
1088,547,216,1,1,1,134,2,0
1156,479,396,0,0,0,21,3,1
90,75,25,0,0,0,2,0,0
176,114,65,0,0,2,16,0,0
70,61,9,0,0,0,13,0,1
102,68,6,0,0,0,26,0,1
67,37,9,0,0,0,20,0,0
93,76,23,0,0,1,14,0,1
35,31,11,0,0,0,8,0,1
65,52,21,0,0,0,2,0,1
225,144,68,0,0,0,8,1,1
489,269,160,0,0,0,35,0,0
51,44,15,0,0,0,0,0,1
34,31,4,0,0,0,16,0,1
